Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A114-01A,cancer,0.05455247,0,0.08287789,0.257175215,0,0.089624663,0.015640273,0,0.070953452,0,0,0.02717197,0.027547694,0.142746156,0.082262966,0.094005862,0.012046558,0,0.041475783,0,0,0.001919048
TCGA-DD-A114-11A,normal,0.018819199,0,0.026143271,0.238908208,0,0.268459565,0,0.005302188,0.049808987,0.015347349,0,0.01756656,0.02753972,0.028730589,0.066087723,0.214795292,0,0,0.004914257,0,0,0.017577093
TCGA-DD-A116-01A,cancer,0.038486415,0,0.022978617,0.110783862,0,0.10869759,0,0,0.121916046,0,0.039879238,0.028380803,0.014509322,0.193439232,0.044777538,0.237390587,0,0,0.038760751,0,0,0
TCGA-DD-A116-11A,normal,0.079790211,0,0.100932126,0.242831045,0,0.07553818,0,0,0.015196835,0.059365853,0.006669089,0,0.014067501,0.021969215,0.112112628,0.197413222,0.004941888,0,0.063144054,0,0,0.006028153
TCGA-DD-A118-01A,cancer,0.046727178,0,0,0.061955349,0,0.092588633,0,0,0.054751984,0,0.016148062,0.019131495,0.036237445,0.255827946,0.051307387,0.332144905,0,0,0.033179617,0,0,0
TCGA-DD-A118-11A,normal,0.025098895,0,0.006073408,0.080677669,0,0.124462713,0,0,0.010793241,0.025170308,0.030475897,0.027786085,0.165664828,0.035589863,0.040275295,0.378133172,0,0,0.003176767,0,0,0.04662186
TCGA-DD-A119-01A,cancer,0.040928848,0,0.013330267,0.144315329,0,0.196286638,0,0,0.050229247,0.000708697,0,0.06733928,0,0.225527672,0.031404527,0.178505423,0.019078626,0,0.032345445,0,0,0
TCGA-DD-A119-11A,normal,0.014305919,0,0.044738815,0.082932108,0,0.116748525,0,0,0.002491495,0.000886827,0,0.030364959,0.144309638,0.077730442,0.050870435,0.397330424,0,0,0.008451584,0,0,0.028838829
TCGA-DD-A11A-01A,cancer,0.055698718,0,0.017311673,0.134061114,0,0.059127415,0,0.015218501,0.108612872,0,0.147483638,0,0.122417994,0.188366577,0.02737289,0.105327073,0,0,0,0.004132705,0.001324456,0.013544375
TCGA-DD-A11A-11A,normal,0,0,0.025108177,0.108576082,0,0.125024343,0,2.96E-05,0.032667251,0.008429349,0.003204759,0.025880474,0.128085933,0.21181645,0.056264622,0.260083623,0,0,0.014829378,0,0,0
TCGA-DD-A11B-01A,cancer,0.067825181,0,0,0.059241799,0,0.345902399,0,0,0.077908935,0,0.001245334,0.042191416,0.0300646,0.074812365,0.03718676,0.209395455,0,0.000246258,0.051663531,0,0,0.002315967
TCGA-DD-A11B-11A,normal,0.063706126,0,0.057889227,0.205635734,0,0.127683005,0,0,0,0.016922022,0.051116892,0,0.020798775,0.132402144,0.137206921,0.145474476,0,0,0.036555053,0,0,0.004609626
TCGA-DD-A11C-01A,cancer,0.026589538,0,0.004660612,0.035027752,0,0.306970375,0,0,0.052083483,0.031602936,0,0.09446899,0.013345184,0.089179262,0.056794215,0.193512433,0,0,0.095765221,0,0,0
