Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A1EI-11A,normal,0.099573469,0,0.018772961,0.135489905,0,0.238086512,0,0,0.032039861,0,0.00822398,0.031546554,0.107194462,0.06810492,0.044577194,0.182807317,0,0,0.032892762,0,0,0.000690102
TCGA-DD-A1EJ-11A,normal,0.026487542,0,0.036155165,0.059400574,0,0.160938245,0,0.001924337,0,0.086142157,0,0.048171756,0.056727101,0.164090608,0.065673162,0.251475981,0,0,0,0.033271365,0,0.009542006
TCGA-DD-A1EL-11A,normal,0.022757729,0,0.066617529,0.102451971,0,0.173290807,0.032101553,0,0.014695235,0.007769783,0.052836832,0,0.015364528,0.048313084,0.065833977,0.359288487,0,0,0.018355339,0,0,0.020323146
TCGA-DD-A39V-11A,normal,0.021601915,0,0.027856763,0.208865226,0,0.117544183,0,0.005787018,0.052366867,0,0.070860278,0.000826451,0.128405049,0.051476695,0.050399901,0.237854466,0,0,0.00254268,0,0,0.023612509
TCGA-DD-A39W-11A,normal,0.069779962,0,0.012705389,0.139311329,0,0.124444476,0,0,0,0.013795212,0.049545567,0.020061416,0.062457668,0.067409547,0.044765519,0.370560249,0,0,0.014794593,0,0,0.010369074
TCGA-DD-A39X-11A,normal,0.075168625,0,0.022309162,0.213948688,0,0.107723072,0.005412827,0.004530086,0.037818288,0,0.054975843,0,0.0449722,0,0.038716943,0.385335959,0,0,0.009088307,0,0,0
TCGA-DD-A39Z-11A,normal,0.063105384,0,0.101535365,0.101082111,0,0.160991154,0,0,0.077634488,0.006070799,0.081111898,0,0.037459206,0.040412073,0.043129823,0.287467699,0,0,0,0,0,0
TCGA-DD-A3A1-11A,normal,0.011469661,0,0.106847553,0.222235152,0,0.105127119,0.024310256,0.002086608,0.006083084,0.008664393,0.012758687,0,0.072748898,0.005714033,0.0351917,0.371723683,0,0,0,0.011564568,0,0.003474605
TCGA-DD-A3A2-11A,normal,0.043116209,0,0.038543013,0.111384457,0,0.060943124,0,0.001540146,0.03252886,0.040331876,0.032058276,0.01744597,0.025956055,0.095215784,0.058670137,0.427330633,0,0,0,0.011688869,0,0.00324659
TCGA-DD-A3A3-11A,normal,0.010930957,0,0.065969938,0.088117915,0,0.081913565,0,0.01166526,0.013253864,0.010477056,0,0.035685249,0.12610001,0.137900316,0.050431525,0.338027403,0,0,0.029526941,0,0,0
TCGA-DD-A3A4-11A,normal,0.035606923,0,0.052980031,0.165570973,0,0.159456172,0,0,0.036885753,0,0.048506906,0.008285779,0.076332823,0.024847059,0.050361846,0.322143714,0,0,0.019022021,0,0,0
TCGA-DD-A3A6-11A,normal,0.07083837,0,0.123448004,0.323631338,0,0,0,0.027319619,0.056245621,0,0,0.1092519,0.053612231,0.100705603,0.012981001,0.11380802,0,0,0.007566097,0,0,0.000592196
TCGA-DD-A3A8-11A,normal,0.09054161,0,0.058840461,0.207820537,0,0.072923984,0,0,0,0,0.039766804,0.067136188,0.158263754,0.030709201,0.017268068,0.235901301,0,0,0.012168875,0,0,0.008659217
TCGA-EP-A12J-11A,normal,0.009250422,0,0.124821217,0.212356358,0,0.229672825,0,0,0.054054486,0,0.01346328,0,0.035566998,0,0.081229082,0.222216864,0,0,0.005425767,0,0,0.011942701
TCGA-EP-A26S-11A,normal,0.035535927,0,0.026689807,0.206007039,0,0,0,0,0.024577813,0.06110828,0.002697775,0.024389075,0.107813065,0.050585036,0.013467205,0.185456727,0,0,0,0.152510715,0,0.109161538
TCGA-EP-A3RK-11A,normal,0.024877497,0,0.029229429,0.111990852,0,0.141783655,0,0.010672965,0,0.019191935,0,0.08333112,0.043057935,0.046711794,0.078144603,0.284610658,0,0,0,0.111788945,0,0.014608614
