state,Caldatribacterium sp.,Magnetobacteriaceae sp.,Vibrio galatheae,Acidaminococcaceae sp.,Marithrix sp.,Planctopirus sp.,Rhizobiaceae sp.,Desulfobulbaceae sp.,Tetrasphaera japonica,Nocardia farcinica
tumor,0.002261,0.009255,0.002656,0.002102,0.005799,0.001972,0.003935,0.01235,0.003435,0.002957
tumor,0.002306,0.01896,0.007498,0.001841,0.01311,0.001831,0.002983,0.01416,0.003232,0.003575
tumor,0.0002411,0.003781,0.002831,0.0001595,0.002101,0.0002226,0.002617,0.001534,0.0002613,0.0002847
tumor,0.0009881,0.008257,0.004767,0.0007508,0.004464,0.0009222,0.001616,0.006123,0.001379,0.001493
tumor,0.00213,0.004022,0.003949,0.001789,0.004901,0.00179,0.00202,0.0109,0.002645,0.002648
tumor,0.0002245,0.004524,0.003212,0.000237,0.001291,0.0001833,0.001326,0.001004,0.0002062,0.0002836
tumor,0.00077,0.001946,0.002062,0.0005234,0.003207,0.0005131,0.0005739,0.003654,0.0008359,0.0007553
tumor,0.000881,0.005379,0.002842,0.0008279,0.003384,0.0009168,0.001979,0.006041,0.001085,0.001335
tumor,0.0006644,0.01181,0.004089,0.000898,0.003651,0.0009336,0.0006702,0.005202,0.001217,0.001375
tumor,0.0005355,0.002671,0.001196,0.0004661,0.002289,0.0005709,0.0004436,0.003335,0.0007945,0.0008515
tumor,0.0004006,0.0082,0.004596,0.0003059,0.005233,0.0002649,0.001008,0.001582,0.0005371,0.0004024
tumor,0.0003857,0.007125,0.005033,0.0002766,0.003835,0.00036,0.0009911,0.001174,0.0003939,0.0002191
tumor,0.0002438,0.006976,0.004558,0.0001908,0.007354,0.000227,0.002074,0.001464,0.0005397,0.000316
tumor,0.0003301,0.01091,0.004381,0.0003333,0.001877,0.000427,0.0006931,0.002516,0.0007184,0.0006111
tumor,0.0002207,0.006012,0.003695,0.0002668,0.001921,0.0001588,0.0004182,0.001413,0.0003353,0.0002556
tumor,0.001319,0.002632,0.001423,0.001442,0.006175,0.001323,0.001803,0.009402,0.002094,0.002491
tumor,0.0003867,0.003683,0.00216,0.0002709,0.005631,0.0002404,0.002228,0.002443,0.0003424,0.0003864
tumor,0.0003392,0.007132,0.002589,0.0003142,0.003005,0.0001953,0.001365,0.001377,0.0004464,0.0003433
tumor,0.0002598,0.00266,0.001804,0.0001751,0.002739,0.0001053,0.002027,0.001133,0.0002367,0.0002112
tumor,0.0003801,0.003378,0.00605,0.0002753,0.002851,0.0003123,0.003233,0.001761,0.0002863,0.0004642
tumor,0.001271,0.00849,0.002988,0.0008693,0.005276,0.0009976,0.001944,0.005558,0.001386,0.001519
tumor,0.001168,0.02359,0.00873,0.0008204,0.003752,0.001067,0.008759,0.006624,0.001955,0.001394
tumor,0.002127,0.006197,0.007238,0.001624,0.007375,0.001786,0.003426,0.01097,0.002662,0.002711
tumor,0.001122,0.006808,0.004207,0.001136,0.003215,0.001227,0.003319,0.007333,0.001813,0.001866
tumor,0.00139,0.006978,0.009585,0.001423,0.004705,0.001734,0.004166,0.01085,0.002207,0.002288
tumor,0.001296,0.01429,0.009724,0.001213,0.00372,0.001525,0.002714,0.009623,0.002057,0.002109
tumor,0.001231,0.01854,0.009532,0.0006815,0.02287,0.001222,0.003241,0.00642,0.001417,0.001143
tumor,0.0004643,0.005248,0.00452,0.000504,0.001593,0.0004864,0.001127,0.002621,0.0005078,0.0006419
tumor,0.0006566,0.02997,0.01025,0.0007184,0.002796,0.0007185,0.006125,0.004779,0.001105,0.001539
tumor,0.0009501,0.006953,0.009569,0.0009466,0.00209,0.00155,0.001712,0.005892,0.001305,0.001118
tumor,0.001838,0.05037,0.007875,0.001404,0.004365,0.001657,0.005508,0.01113,0.002579,0.002284
tumor,0.0002575,0.001667,0.001504,0.000207,0.001146,0.000224,0.0004603,0.001288,0.0002914,0.0003201
tumor,0.0006582,0.008697,0.01044,0.00066,0.002286,0.0006867,0.0008744,0.005004,0.0009669,0.001091
tumor,0.0001094,0.004204,0.003852,0.0000998,0.00167,0.0001607,0.002474,0.0009234,0.0001881,0.0001673
tumor,0.0007174,0.004018,0.002519,0.0003036,0.003557,0.0002144,0.001727,0.001674,0.0001819,0.0003925
tumor,0.0006066,0.003807,0.002658,0.0005163,0.002214,0.000694,0.001222,0.003743,0.0009429,0.001108
tumor,0.001986,0.003374,0.00355,0.001701,0.005264,0.001737,0.001716,0.008032,0.001926,0.002085
tumor,0.0002962,0.002459,0.004126,0.0002824,0.00336,0.0003266,0.00131,0.002003,0.0003779,0.0003951
tumor,0.001875,0.009433,0.008515,0.001337,0.006572,0.001574,0.003508,0.008978,0.00219,0.002066
tumor,0.0008981,0.005132,0.003778,0.0009215,0.003968,0.0008044,0.01798,0.005703,0.001841,0.001462
tumor,0.0003658,0.003185,0.004555,0.0003767,0.006349,0.0002949,0.0009224,0.001634,0.0004127,0.0003764
tumor,0.0003155,0.007954,0.003297,0.000391,0.004217,0.0002522,0.004243,0.001858,0.0006244,0.0004671
tumor,0.0004771,0.01385,0.01527,0.0005007,0.003963,0.0002769,0.01185,0.003514,0.0007873,0.0007885
tumor,0.001641,0.0133,0.006624,0.00136,0.006256,0.001247,0.01136,0.008453,0.002182,0.001804
tumor,0.001929,0.009571,0.004845,0.001564,0.004439,0.00169,0.01261,0.01174,0.00267,0.002463
tumor,0.0002341,0.003198,0.003133,0.0001698,0.002385,0.0001781,0.000689,0.001235,0.0002505,0.0002012
