	53	58	59	60	65	67	71	72	74	75	78	79	80	81	82	84	88	89	94
ABCB4	6.381744662	1.444892718	103.2741771	157.8135837	30.07420887	44.69830289	3.263522691	37.3164826	29.69360023	3.163315281	356.1274317	36.2489534	31.33482435	194.6463337	32.2470306	30.07420887	13.21913694	68.92639829	104.9934885
ABCB9	44.69830289	41.9212208	16.52918119	17.39317386	28.16049995	5.750436123	43.14046969	1.524957881	0.810100167	24.60620487	506.3266175	257.6487032	38.92309541	114.948451	77.72562791	11.03499325	31.76344489	18.76374287	25.60086917
ACAP1	1975.181387	2359.343511	16.52918119	1060.995659	1379.242673	1497.785109	1379.242673	2413.704424	1379.242673	1617.616981	301.6858682	1348.220789	1562.586072	1379.242673	1131.798425	944.3501066	990.5918728	1186.882778	2413.704424
ACHE	14.36265742	0.308606786	16.52918119	0.213419612	0.676166078	0.516561339	3.263522691	1.524957881	0.810100167	11.89557316	54.41874865	7.180867532	5.213553796	5.960553954	0.343944179	3.752644437	7.874517592	0.271740313	103.2741771
ACP5	944.3501066	1975.181387	114.948451	2671.541483	1466.753824	898.6436191	3418.143258	819.7333343	1668.130309	1265.059929	16239.80204	1497.785109	2462.832376	2359.343511	3843.343436	2974.473732	3208.972502	2872.151656	1244.664034
ADAM28	93.34289885	128.8068955	254.9503925	2216.439023	373.4190248	770.4283085	22.76348344	1117.290961	301.6858682	706.2869098	190.1628975	752.689037	525.5638935	433.4872206	416.7358627	1214.545251	396.7585694	1348.220789	2216.439023
ADAMDEC1	1.178988955	94.66983449	16.52918119	2.059474131	63.84815897	50.96829051	3.263522691	19.19438603	11.29309035	33.1769378	0.706286046	12.36685103	11.89557316	0.810100167	27.8334937	90.92893144	43.96954979	41.9212208	84.93714131
ADAMTS3	0.01736334	31.76344489	176.2484855	0.213419612	9.41337292	67.45509623	3.263522691	1.524957881	22.76348344	112.2949547	160.3636916	24.16578428	2.143459475	6.674537119	3.916921182	0.177795785	1.220695737	4.902428474	2.223605923
ADRB2	990.5918728	598.0635244	16.52918119	305.1984684	454.0438419	140.0483141	3.263522691	225.1282693	404.848424	460.5328626	146.5973807	202.0678785	281.6617946	706.2869098	235.9713755	317.8384559	68.13838521	197.9265711	116.9312902
AIF1	1214.545251	569.4731676	1466.753824	281.6617946	690.7915555	128.8068955	1348.220789	606.8203422	668.1340825	423.6367169	81.46943389	360.0425009	101.7048978	384.0986775	2359.343511	2096.611593	4628.222555	1131.798425	538.7271136
AIM2	483.6517866	323.0550853	16.52918119	661.8786486	714.9440315	157.8135837	404.848424	492.9208892	272.4999805	525.5638935	389.2446724	158.9484039	500.6352464	834.4056546	553.804816	448.55047	377.6797179	460.5328626	250.3230498
ALOX15	3.363730102	17.39317386	140.0483141	24.60620487	0.676166078	21.92595485	33.61681592	31.33482435	13.56848833	19.19438603	37.3164826	8.547070891	5.041049259	31.76344489	4.744034131	28.16049995	2.899282934	5.750436123	15.5162842
ALOX5	293.7227702	49.05542916	16.52918119	1297.062123	121.8196188	242.9460875	346.1110564	668.1340825	562.3075047	76.68076747	433.4872206	242.9460875	317.8384559	158.9484039	247.6652169	1534.759812	404.848424	661.8786486	661.8786486
ANGPT4	0.023073813	0.308606786	16.52918119	0.213419612	0.676166078	0.516561339	3.263522691	1.524957881	0.810100167	1.178988955	10.79376735	0.367291763	0.023073813	0.810100167	0.343944179	0.177795785	0.294244224	2.059474131	1.178988955
ANKRD55	3.163315281	0.308606786	16.52918119	17.06542917	351.3870819	176.2484855	3.263522691	157.8135837	0.810100167	9.677742414	9.41337292	111.4178986	41.24325839	15.94525233	8.087221934	6.967357295	15.94525233	34.40601625	148.539792
APOBEC3A	521.5729037	649.999677	1214.545251	184.0270266	125.9729555	2096.611593	137.8752854	245.3731823	525.5638935	433.4872206	690.7915555	230.7340199	219.340723	157.8135837	437.9119731	2462.832376	190.1628975	384.0986775	225.1282693
APOBEC3G	3138.094431	2413.704424	690.7915555	3510.086699	3510.086699	1199.39861	1975.181387	931.959706	4832.966328	3138.094431	1779.704113	3037.480564	2761.613253	3208.972502	1779.704113	2761.613253	1645.497448	2594.015446	834.4056546
APOL3	679.4120745	377.6797179	225.1282693	443.0806847	1934.810006	944.3501066	1214.545251	661.8786486	1131.798425	962.4083975	21.60557762	483.6517866	553.804816	492.9208892	1096.085594	469.1389317	668.1340825	649.999677	1265.059929
APOL6	404.848424	625.4002069	230.7340199	254.9503925	538.7271136	779.3879069	1060.995659	401.2278188	516.1846537	454.0438419	1710.618814	287.6261723	460.5328626	348.5464433	293.7227702	284.1426061	546.8526211	404.848424	401.2278188
AQP9	84.93714131	8.547070891	16.52918119	142.7523723	0.676166078	53.54242216	140.0483141	1.524957881	35.46003103	21.92595485	32.2470306	0.124670002	1.863199743	27.31049176	33.1769378	384.0986775	9.179944867	65.20824206	5.041049259
ARHGAP22	9.41337292	24.16578428	661.8786486	25.60086917	6.967357295	0.516561339	3.263522691	1.524957881	0.810100167	49.77580939	205.4380164	0.706286046	17.8515282	9.96209811	10.23691967	14.63258637	28.54843181	2.337267836	68.13838521
ARRB1	82.43095495	51.92109143	538.7271136	54.41874865	153.1202914	47.37595843	168.5754869	42.5164744	25.11093219	4.744034131	1199.39861	48.4413477	95.79063405	293.7227702	118.8875655	47.37595843	61.41326669	13.21913694	59.2857999
ASGR1	41.24325839	0.308606786	233.4303308	12.36685103	23.57628789	0.516561339	25.11093219	1.524957881	10.23691967	1.940744568	0.706286046	2.899282934	33.1769378	16.65084421	38.51188366	45.66646172	16.65084421	19.19438603	22.76348344
